Stream Type,F#,Timestamp,Arrival Time
Depth,4,1185053.611,332
Depth,5,1185086.933,366
Depth,6,1185120.254,399
Depth,7,1185153.575,433
Depth,8,1185186.897,466
Depth,9,1185220.218,500
Depth,10,1185253.539,534
Depth,11,1185286.861,567
Depth,12,1185320.182,601
Depth,13,1185353.503,634
Color,0,1185065.303,332
Color,1,1185098.902,366
Color,2,1185132.502,399
Color,3,1185166.102,433
Color,4,1185199.702,466
Color,5,1185233.302,500
Color,6,1185266.902,534
Color,7,1185300.502,567
Color,8,1185334.102,601
Color,9,1185367.702,634
